index,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PER,PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량(Ton),에너지 총량(TJ),온실가스 배출총량(TonCo2eq),용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,GICS_Sector,GICS_Industry,RE100,high_carbon,sbti,자본비율,기업규모,N자산총계,N자본총계,N지배주주지분,N시가총액,N부채총계,N매출액,N남성 정규직 수,N남성 직원 수,N직원 수,N사외이사 수,N여성 정규직 수,N여성 직원 수,기업분류,상시근로자수,장애인고용의무인원,장애인근로자수,장애인고용률
2022-12-01 00:00:00,2022,HJ중공업,97230,B,B+,17882,66,66,-502,-502,0,25677,21827,3850,3851,-1,4164,566.95,-83.23,0.369086232,-2.81,-2.03,-12.28,-602,4641,0,,0.84,83274,0,0,4.787576912,1156,0,6.756428746,7,4,0.571428571,0,7,1,14.28571429,153108000,101712000,1794,48,1985,69,2054,3.359298929,96.64070107,0.903778338,0.695652174,16196406,19.45,3.26019E+11,83274281,16111557,319.5703813,19539,2,1,1,산업(In),Aerospace & Defense,,0,0,0.149939635,1,3,2,2,2,3,3,3,3,3,3,2,2,3,,,,
2023-12-01 00:00:00,2023,HJ중공업,97230,,,21621,-1088,-1088,-1143,-1140,-3,28906,25497,3409,3408,1,4164,747.9,-113.09,-5.032144674,-5.27,-4.19,-31.41,-1369,4110,0,,1.08,83274,0,,20.90929426,-1154,0,-5.401230906,6,4,0.666666667,0,6,1,16.66666667,,,,,,,,,,,,15310253,18.39,3.70571E+11,83274281,0,0,0,5,5,5,산업(In),Aerospace & Defense,,0,0,0.117933993,1,3,2,2,2,3,3,,,,3,0,0,3,,,,
2020-12-01 00:00:00,2020,엠씨넥스,97520,,C,13113,592,592,384,384,,4534,2005,2529,2529,0,89,79.25,2765.4,4.514603828,2.93,8.27,16.1,2152,14327,500,18.77,2.82,17863,1.24,0,0,-93,0,0,3,1,0.333333333,0,22,0,0,50999662,33326340,350,103,350,103,453,22.73730684,77.26269316,1,1,1814835,10.16,7.21685E+11,17863482,0,0,0,5,5,5,기술(Te),Electronic Components,,0,0,0.55778562,2,2,2,2,3,2,3,2,2,2,0,2,2,5,,,,
2022-12-01 00:00:00,2022,엠씨넥스,97520,,C,11086,107,107,230,230,,5389,2298,3091,3091,0,90,74.36,3414.57,0.96518131,2.07,4.32,7.56,1278,17573,500,21.83,1.59,17978,1.79,0,-15.4579425,-485,0.55,-3.549422519,5,3,0.6,0,30,1,3.333333333,56036816,35171101,362,68,362,68,430,15.81395349,84.18604651,1,1,1502154,8.36,5.01579E+11,17977732,0,0,0,5,5,5,기술(Te),Electronic Components,,0,0,0.573575803,2,2,2,2,3,2,3,2,2,2,2,2,2,4,,,,
2023-12-01 00:00:00,2023,엠씨넥스,97520,,,9325,182,182,279,279,,5357,2121,3236,3236,0,90,65.54,3600.69,1.951742627,2.99,5.2,8.83,1553,18503,600,19.48,1.63,17978,1.98,,-15.88489987,75,0.19,0.986561318,5,3,0.6,0,30,1,3.333333333,54919573,35667271,357,68,357,68,425,16,84,1,1,1776540,9.88,5.43826E+11,17977732,0,0,0,5,5,5,기술(Te),Electronic Components,,0,0,0.604069442,3,2,2,2,3,2,3,2,2,2,2,2,2,4,,,,
2019-12-01 00:00:00,2019,CJ제일제당,97950,,A,223525,8969,8969,1910,1525,385,262806,167992,94815,48809,46006,819,177.18,5981.42,4.012526563,0.68,0.83,3.16,9312,304071,3500,27.12,0.83,15054,1.39,0,0,-93,0,0,,,,0,7,0,0,,,,,,,,,,,,,,3.80118E+12,15054186,0,0,0,5,5,5,필수소비재(Cs),Packaged Foods,,0,1,0.360779434,1,4,4,4,4,4,4,,,,0,0,0,1,,,,
2020-12-01 00:00:00,2020,CJ제일제당,97950,A,A,242457,13596,13596,7864,6856,1008,256119,154455,101664,52744,48920,819,151.93,6461.85,5.607592274,2.83,3.03,13.5,41851,328093,4000,9.1,1.16,15054,1.05,0,8.469746113,4627,-0.34,1.595065711,7,4,0.571428571,1,7,0,0,134000000,121000000,5493,2047,5518,2077,7595,27.34693878,72.65306122,0.995469373,0.985556091,3641755,24.19,5.73564E+12,15054186,60651,94.82,4887,1,1,1,필수소비재(Cs),Packaged Foods,,0,1,0.396940485,2,4,4,4,4,4,4,3,3,3,3,3,3,1,,,,
2021-12-01 00:00:00,2021,CJ제일제당,97950,A,A,262892,15244,15244,8924,6129,2795,268558,160490,108068,61135,46933,819,148.51,7486.33,5.798578884,2.33,3.4,10.76,37413,379317,5000,10.36,1.02,15054,1.29,0,8.428298626,1648,0.24,0.19098661,7,4,0.571428571,1,7,1,14.28571429,162000000,147000000,5864,2215,5890,2266,8156,27.78322707,72.21677293,0.995585739,0.97749338,3355980,22.29,5.8335E+12,15054186,58706,94.31569593,4813,1,1,1,필수소비재(Cs),Packaged Foods,,0,1,0.402400971,2,4,4,4,4,4,4,3,3,3,3,3,3,1,,,,
2022-12-01 00:00:00,2022,CJ제일제당,97950,A,A,300795,16647,16647,8027,5959,2067,300132,184842,115290,67557,47733,819,160.33,8270.36,5.534334015,1.98,2.82,9.26,36378,418518,5500,10.46,0.91,15054,1.45,0,14.41770765,1403,0.16,-0.264244869,7,4,0.571428571,1,7,1,14.28571429,165000000,146000000,6081,2389,6109,2436,8545,28.50789936,71.49210064,0.995416598,0.980706076,3683641,24.47,5.72812E+12,15054186,59182,102.8016897,5355,1,1,1,필수소비재(Cs),Packaged Foods,,0,1,0.384130982,1,4,4,4,4,4,4,3,3,3,3,3,3,1,,,,
2023-12-01 00:00:00,2023,CJ제일제당,97950,,,290235,12916,12916,5595,3859,1735,296063,178263,117799,71515,46284,819,151.33,8753.63,4.450186917,1.33,1.88,5.55,23559,442682,5500,13.75,0.73,15054,1.7,,-3.510696654,-3731,0.25,-1.084147097,6,3,0.5,1,6,1,16.66666667,236000000,213000000,6085,2456,6114,2498,8612,29.00603809,70.99396191,0.995256788,0.983186549,3456307,22.96,4.87756E+12,15054186,0,0,0,5,5,5,필수소비재(Cs),Packaged Foods,,0,1,0.39788491,2,4,4,4,4,4,4,3,3,3,2,3,3,1,,,,
